"period_label","period_hour","time_offset_sec","timestamp","serving_bs_id","users_present","active_nodes"
"peak",12,8,"2025-01-01 12:00:08","BS_11",2,1
NA,12,8,"2025-01-01 12:00:08","BS_2",0,0
NA,12,8,"2025-01-01 12:00:08","BS_3",0,0
"peak",12,8,"2025-01-01 12:00:08","BS_4",1,1
"peak",12,8,"2025-01-01 12:00:08","BS_5",2,1
"peak",12,8,"2025-01-01 12:00:08","BS_6",3,1
NA,12,8,"2025-01-01 12:00:08","BS_7",0,0
NA,12,8,"2025-01-01 12:00:08","BS_8",0,0
"peak",12,8,"2025-01-01 12:00:08","BS_9",2,1
"peak",12,9,"2025-01-01 12:00:09","BS_1",4,1
"peak",12,9,"2025-01-01 12:00:09","BS_10",1,1
"peak",12,9,"2025-01-01 12:00:09","BS_11",2,1
NA,12,9,"2025-01-01 12:00:09","BS_2",0,0
NA,12,9,"2025-01-01 12:00:09","BS_3",0,0
"peak",12,9,"2025-01-01 12:00:09","BS_4",0,0
"peak",12,9,"2025-01-01 12:00:09","BS_5",3,1
"peak",12,9,"2025-01-01 12:00:09","BS_6",3,1
NA,12,9,"2025-01-01 12:00:09","BS_7",0,0
NA,12,9,"2025-01-01 12:00:09","BS_8",0,0
"peak",12,9,"2025-01-01 12:00:09","BS_9",2,1
"peak",12,10,"2025-01-01 12:00:10","BS_1",4,1
"peak",12,10,"2025-01-01 12:00:10","BS_10",1,1
"peak",12,10,"2025-01-01 12:00:10","BS_11",2,1
NA,12,10,"2025-01-01 12:00:10","BS_2",0,0
NA,12,10,"2025-01-01 12:00:10","BS_3",0,0
"peak",12,10,"2025-01-01 12:00:10","BS_4",0,0
"peak",12,10,"2025-01-01 12:00:10","BS_5",3,1
"peak",12,10,"2025-01-01 12:00:10","BS_6",4,1
NA,12,10,"2025-01-01 12:00:10","BS_7",0,0
NA,12,10,"2025-01-01 12:00:10","BS_8",0,0
"peak",12,10,"2025-01-01 12:00:10","BS_9",1,1
"peak",12,11,"2025-01-01 12:00:11","BS_1",4,1
"peak",12,11,"2025-01-01 12:00:11","BS_10",1,1
"peak",12,11,"2025-01-01 12:00:11","BS_11",2,1
NA,12,11,"2025-01-01 12:00:11","BS_2",0,0
NA,12,11,"2025-01-01 12:00:11","BS_3",0,0
"peak",12,11,"2025-01-01 12:00:11","BS_4",0,0
"peak",12,11,"2025-01-01 12:00:11","BS_5",2,1
"peak",12,11,"2025-01-01 12:00:11","BS_6",4,1
NA,12,11,"2025-01-01 12:00:11","BS_7",0,0
NA,12,11,"2025-01-01 12:00:11","BS_8",0,0
"peak",12,11,"2025-01-01 12:00:11","BS_9",2,1
"peak",12,12,"2025-01-01 12:00:12","BS_1",2,1
"peak",12,12,"2025-01-01 12:00:12","BS_10",1,1
"peak",12,12,"2025-01-01 12:00:12","BS_11",2,1
NA,12,12,"2025-01-01 12:00:12","BS_2",0,0
NA,12,12,"2025-01-01 12:00:12","BS_3",0,0
"peak",12,12,"2025-01-01 12:00:12","BS_4",0,0
"peak",12,12,"2025-01-01 12:00:12","BS_5",2,1
"peak",12,12,"2025-01-01 12:00:12","BS_6",6,1
NA,12,12,"2025-01-01 12:00:12","BS_7",0,0
NA,12,12,"2025-01-01 12:00:12","BS_8",0,0
"peak",12,12,"2025-01-01 12:00:12","BS_9",3,1
"peak",12,13,"2025-01-01 12:00:13","BS_1",2,1
"peak",12,13,"2025-01-01 12:00:13","BS_10",1,1
"peak",12,13,"2025-01-01 12:00:13","BS_11",1,1
NA,12,13,"2025-01-01 12:00:13","BS_2",0,0
NA,12,13,"2025-01-01 12:00:13","BS_3",0,0
"peak",12,13,"2025-01-01 12:00:13","BS_4",0,0
"peak",12,13,"2025-01-01 12:00:13","BS_5",2,1
"peak",12,13,"2025-01-01 12:00:13","BS_6",6,1
NA,12,13,"2025-01-01 12:00:13","BS_7",0,0
NA,12,13,"2025-01-01 12:00:13","BS_8",0,0
"peak",12,13,"2025-01-01 12:00:13","BS_9",5,1
"peak",12,14,"2025-01-01 12:00:14","BS_1",1,1
"peak",12,14,"2025-01-01 12:00:14","BS_10",1,1
"peak",12,14,"2025-01-01 12:00:14","BS_11",1,1
NA,12,14,"2025-01-01 12:00:14","BS_2",0,0
